X,Y_0,Y_1,W,V_0,V_1,V_2,V_3,V_4,V_5,V_6,V_7,V_8
4,,,0.018636686,2,288.85,3,7,,1,3,15499,7
1,,,0.008109717,3,288.86,1,9,,3,3,35619,3
2,,,0.021636963,5,288.94,1,7,,1,2,13354,7
4,,,0.01668938,6,289.01,2,3,,1,2,17317,6
2,,,0.013660162,5,289.09,1,8,,1,2,21163,7
2,,,0.009426149,2,289.1,1,9,,1,3,30670,6
1,,,0.017489869,5,289.16,4,7,,1,1,16533,7
4,,,0.004958914,5,289.67,2,2,,2,2,58414,1
1,,,0.012595732,5,289.79,1,4,,1,2,23007,6
4,,,0.013612624,2,289.84,2,1,,2,1,21292,1
4,,,0.014715699,5,290.12,2,5,,2,1,19715,4
1,,,0.03240937,5,290.55,4,5,,1,1,8965,6
1,,,0.008856795,3,290.68,1,5,,1,2,32820,7
1,,,0.012641485,5,290.83,4,6,,1,1,23006,6
1,,,0.014948358,5,290.91,1,8,,1,1,19461,7
2,,,0.006078194,5,291.03,1,7,,2,4,47881,5
1,,,0.018865846,2,291.1,3,9,,1,2,15430,6
1,,,0.011816706,3,291.14,1,9,,1,4,24638,6
1,,,0.01300576,1,291.29,1,9,,2,3,22397,4
1,,,0.004619995,2,291.36,4,6,,5,2,63065,3
4,,,0.026999629,5,291.38,3,5,,1,1,10792,6
1,,,0.007835215,3,291.47,1,9,,3,3,37200,3
1,,,0.019481308,3,291.83,3,9,,2,2,14980,2
1,,,0.005256154,3,291.89,1,9,,3,3,55533,3
1,,,0.061471579,4,291.99,1,9,,1,2,4750,6
1,,,0.005247162,4,292.12,1,9,,2,4,55672,1
4,,,0.004683692,6,292.15,2,3,,1,2,62376,6
1,,,0.01100128,2,292.26,3,5,,2,1,26566,1
2,,,0.005672409,1,292.39,2,9,,4,2,51546,3
2,,,0.02082989,5,292.41,1,7,,1,3,14038,7
1,,,0.017632801,2,292.44,3,4,,1,2,16585,7
1,,,0.004143232,2,292.45,1,9,,2,5,70585,1
4,,,0.006800763,5,292.46,3,5,,2,1,43004,1
5,,,0.010228314,4,292.54,1,9,,2,3,28601,5
1,,,0.003351588,2,292.54,1,9,,2,4,87284,1
1,,,0.007597715,2,292.55,3,5,,4,2,38505,3
1,,,0.018752644,2,292.56,1,3,,2,1,15601,2
1,,,0.005784959,1,292.69,2,9,,2,2,50595,1
1,,,0.1011783,2,292.81,1,8,,1,1,2894,7
1,,,0.010988632,5,292.88,1,6,,1,2,26653,7
1,,,0.015433087,3,292.92,2,9,,1,3,18980,6
2,,,0.02518181,5,292.94,1,7,,1,2,11633,6
1,,,0.009635987,5,293.04,2,9,,1,2,30411,6
1,,,0.007161773,1,293.16,1,9,,3,3,40934,1
5,,,0.011878012,3,293.28,1,9,,1,2,24691,6
4,,,0.017968999,5,293.29,3,4,,3,1,16322,4
2,,,0.01032601,2,293.3,4,8,,5,2,28404,3
1,,,0.007424377,5,293.3,1,9,,1,5,39505,6
1,,,0.02172802,2,293.35,1,9,,1,2,13501,6
4,,,0.01665153,6,293.35,1,2,,1,3,17617,6
1,,,0.031772604,2,293.42,1,6,,1,3,9235,7
2,,,0.015429893,5,293.6,4,9,,3,1,19028,3
2,,,0.011113887,5,293.64,3,5,,1,2,26421,6
1,,,0.010174612,2,293.68,4,9,,2,3,28864,1
1,,,0.013211137,4,293.71,1,9,,2,3,22232,2
1,,,0.003435223,4,293.77,1,9,,2,5,85517,1
2,,,0.019398799,5,293.95,3,6,,2,1,15153,4
1,,,0.038396239,5,294,4,6,,1,1,7657,6
1,,,0.014036277,5,294.06,3,5,,1,2,20950,7
1,,,0.007210534,5,294.06,2,9,,2,2,40782,5
4,,,0.006530825,2,294.07,1,2,,2,2,45028,2
1,,,0.011514701,3,294.12,1,8,,1,2,25543,6
4,,,0.00754777,2,294.28,3,4,,4,2,38989,5
1,,,0.011169713,2,294.59,1,6,,3,3,26374,4
1,,,0.014793131,4,294.62,1,9,,1,3,19916,7
1,,,0.021978071,3,294.66,4,5,,1,1,13407,7
2,,,0.01234646,2,294.71,1,8,,1,2,23870,7
2,,,0.009012568,2,294.72,1,8,,1,2,32701,6
1,,,0.011189645,2,294.78,4,9,,3,3,26344,5
1,,,0.00763691,3,294.8,1,8,,2,2,38602,5
1,,,0.006794488,5,294.84,2,5,,1,2,43394,6
1,,,0.007898345,3,294.94,1,9,,3,3,37342,3
1,,,0.016343193,5,295.06,3,6,,1,1,18054,7
1,,,0.00498421,3,295.13,1,9,,2,5,59213,1
1,,,0.011221348,1,295.2,4,9,,5,2,26307,3
1,,,0.028411125,5,295.22,3,5,,1,2,10391,7
1,,,0.022967948,2,295.23,2,9,,1,3,12854,6
2,,,0.030386672,5,295.48,4,5,,1,1,9724,6
1,,,0.009927787,3,295.58,1,9,,1,4,29773,6
3,,,0.020203663,5,295.62,4,5,,2,2,14632,4
2,,,0.005826944,5,295.63,1,9,,2,2,50735,5
1,,,0.007979542,3,295.65,1,9,,1,3,37051,6
1,,,0.005333249,2,295.67,2,9,,4,2,55439,3
2,,,0.01090604,2,295.75,4,9,,1,3,27118,6
5,,,0.016339281,3,295.79,2,7,,1,2,18103,7
1,,,0.018787552,5,295.81,1,9,,2,3,15745,2
2,,,0.006647343,5,295.84,2,9,,2,1,44505,2
1,,,0.011997325,3,296.01,2,9,,4,3,24673,3
1,,,0.005605332,2,296.04,1,9,,2,5,52814,1
1,,,0.006294966,4,296.09,1,9,,2,5,47036,2
1,,,0.020159984,2,296.13,4,5,,1,1,14689,7
4,,,0.018179921,5,296.26,4,4,,2,2,16296,4
1,,,0.006773044,3,296.49,1,9,,2,3,43775,1
2,,,0.009645598,5,296.66,4,7,,1,2,30756,6
4,,,0.018852386,5,296.68,3,4,,2,1,15737,1
2,,,0.013920649,5,296.83,4,5,,1,3,21323,6
1,,,0.011713418,5,296.9,3,5,,2,1,25347,1
1,,,0.012608548,5,297.07,4,6,,5,3,23561,4
1,,,0.008340717,3,297.48,4,9,,5,3,35666,5
2,,,0.022639069,6,297.5,1,8,,1,2,13141,6
1,,,0.01299385,1,297.91,2,9,,2,2,22927,4
1,,,0.009191788,2,298.2,1,9,,2,2,32442,1
1,,,0.019526023,3,298.26,4,5,,1,1,15275,7
5,,,0.015134463,3,298.27,1,9,,1,2,19708,6
4,,,0.010837299,6,298.34,2,5,,1,2,27529,6
2,,,0.026496448,5,298.35,3,9,,1,1,11260,6
1,,,0.034863886,5,298.4,4,9,,1,1,8559,6
1,,,0.01400244,2,298.42,1,9,,1,2,21312,6
2,,,0.015291978,5,298.53,2,6,,2,2,19522,4
1,,,0.005470868,3,298.6,1,9,,4,2,54580,3
1,,,0.026659823,5,298.67,3,7,,1,2,11203,7
1,,,0.009294894,2,298.71,1,9,,1,5,32137,7
4,,,0.010414502,6,298.74,2,3,,1,2,28685,6
1,,,0.02789061,5,298.82,3,8,,1,2,10714,7
1,,,0.020390593,2,299.13,1,8,,1,1,14670,7
