X,Y_0,Y_1,W,V_0,V_1,V_2,V_3,V_4,V_5,V_6,V_7,V_8
1,11295.6,19.0571,0.057,1,572.7,2,3,0,5,3,24216,3
1,14127.8,18.8539,0.1968,3,641.4,3,4,1,1,5,4582,6
1,14823.6,18.812,0.0245,1,673.0,1,2,1,2,5,48163,2
2,13234.9,18.9937,0.0617,3,671.0,3,4,0,3,3,17024,4
1,9356.8,19.188,0.0083,5,424.8,1,4,0,2,2,96569,1
1,14624.2,18.8338,0.0219,3,663.9,1,6,1,2,5,53117,1
2,2536.2,19.0804,0.0203,3,128.6,3,4,0,4,3,32589,3
1,12751.8,19.2617,0.1021,2,646.5,4,7,0,5,4,12657,3
2,13246.2,18.7153,0.0623,3,601.4,1,5,1,1,3,14663,7
2,8383.2,19.3276,0.0544,5,380.6,2,7,0,2,1,13460,1
2,9282.4,19.0532,0.037,2,470.6,3,5,0,3,3,30392,1
1,12180.9,19.2853,0.0989,5,617.6,3,4,0,1,1,9292,6
2,8833.0,19.177,0.0788,5,447.8,3,5,0,1,2,9558,6
2,14377.6,18.9426,0.0567,3,652.7,1,5,0,3,3,19785,2
1,9793.4,19.1415,0.0319,2,496.5,2,4,0,2,3,26000,1
2,9398.8,19.071,0.0244,3,426.7,1,6,0,2,3,32523,2
2,10851.0,18.7843,0.0226,4,492.6,1,5,1,2,5,47936,2
1,8645.9,18.8374,0.0472,5,392.5,1,5,1,1,2,15188,6
2,16506.9,18.9447,0.0744,3,749.4,1,5,0,2,3,15998,2
2,12526.5,18.7081,0.0236,4,568.7,1,6,1,3,5,49689,5
2,11597.5,19.0507,0.0195,3,526.5,4,9,0,3,3,52862,1
2,11581.0,18.8597,0.0114,4,525.8,1,5,1,2,5,56232,2
1,13330.2,19.0204,0.0461,3,675.8,1,4,0,5,3,28647,3
1,10298.7,19.0722,0.0281,2,467.6,1,2,0,2,3,32073,1
1,12006.2,18.9872,0.017,3,545.1,1,2,0,3,4,65903,3
1,11857.8,19.079,0.0248,2,538.3,1,7,0,2,2,36917,4
